현재 시간,행동,결과,레벨,소지금,강화비용,판매가격,강화 성공률
2024-04-03 오후 6:23:32,게임 실행,게임 시작,1,1000,0,0,0
2024-04-03 오후 6:23:32,강화,강화 성공,1,990,10,100,100
2024-04-03 오후 6:23:32,판매,판매,2,990,15,180,93
2024-04-03 오후 6:23:32,강화,강화 성공,1,1160,10,100,100
2024-04-03 오후 6:23:32,강화,강화 성공,2,1145,15,180,93
2024-04-03 오후 6:23:32,강화,강화 성공,3,1123,22,324,86
2024-04-03 오후 6:23:32,판매,판매,4,1123,34,583,80
2024-04-03 오후 6:23:32,판매,판매,1,1706,10,100,100
2024-04-03 오후 6:23:32,판매,판매,1,1806,10,100,100
2024-04-03 오후 6:23:32,판매,판매,1,1906,10,100,100
2024-04-03 오후 6:23:32,판매,판매,1,2006,10,100,100
2024-04-03 오후 6:23:32,강화,강화 성공,1,2096,10,100,100
2024-04-03 오후 6:23:32,강화,강화 성공,2,2081,15,180,93
2024-04-03 오후 6:23:32,강화,강화 성공,3,2059,22,324,86
2024-04-03 오후 6:23:32,강화,강화 성공,4,2025,34,583,80
2024-04-03 오후 6:23:32,강화,강화 성공,5,1974,51,1050,75
2024-04-03 오후 6:23:32,판매,판매,6,1974,76,1890,70
2024-04-03 오후 6:23:32,종료,게임 종료,1,3864,10,100,100
