현재 시간,행동,결과,레벨,소지금,강화비용,판매가격,강화 성공률
2024-04-16 18:07:40:37,게임 실행,게임 시작,0,1000,0,0,0
2024-04-16 18:07:40:85,강화,강화 성공,0,990,10,100,100
2024-04-16 18:07:40:95,강화,강화 성공,1,975,15,180,93
2024-04-16 18:07:41:11,강화,강화 성공,2,953,22,324,86
2024-04-16 18:07:41:26,강화,강화 성공,3,919,34,583,80
2024-04-16 18:07:41:43,강화,강화 성공,4,868,51,1050,75
2024-04-16 18:07:41:58,강화,강화 실패,5,792,76,1890,70
2024-04-16 18:07:41:74,강화,강화 성공,5,716,76,1890,70
2024-04-16 18:07:41:91,강화,강화 성공,6,602,114,3401,65
2024-04-16 18:07:42:07,강화,강화 성공,7,431,171,6122,60
2024-04-16 18:07:42:23,강화,강화 성공,8,175,256,11020,56
2024-04-16 18:07:42:40,강화,소지금 부족,9,175,384,19836,52
2024-04-16 18:07:42:55,강화,소지금 부족,9,175,384,19836,52
2024-04-16 18:07:42:72,강화,소지금 부족,9,175,384,19836,52
2024-04-16 18:07:42:89,강화,소지금 부족,9,175,384,19836,52
2024-04-16 18:07:43:04,강화,소지금 부족,9,175,384,19836,52
2024-04-16 18:07:43:20,강화,소지금 부족,9,175,384,19836,52
2024-04-16 18:07:43:36,강화,소지금 부족,9,175,384,19836,52
