시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-18 03:07:25:87,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-18 03:07:26:49,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 03:07:26:94,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 03:07:27:34,공격,실패,3,298,31,60,60,1,82.81,1,1
2024-04-18 03:07:27:73,공격,성공,2,298,31,60,60,1,100,1,1
2024-04-18 03:07:28:16,공격,성공,2,297,61,90,90,1,91,1,1
2024-04-18 03:07:28:61,공격,성공,2,296,91,120,120,1,82.81,1,1
2024-04-18 03:07:29:07,공격,성공,2,295,121,150,150,1,75.3571,1,1
2024-04-18 03:07:29:54,공격,성공,2,294,151,180,180,1,68.574961,1,1
2024-04-18 03:07:29:98,공격,성공,2,293,181,210,210,1,62.40321451,1,1
2024-04-18 03:07:30:38,공격,성공,2,292,211,240,240,1,56.7869252041,1,1
2024-04-18 03:07:30:70,공격,실패,2,291,241,270,270,1,51.676101935731,1,1
2024-04-18 03:07:30:86,공격,성공,1,291,241,270,270,1,100,1,1
2024-04-18 03:07:31:04,공격,성공,1,290,271,300,300,1,91,1,1
2024-04-18 03:07:31:22,공격,성공,1,289,301,330,330,1,82.81,1,1
2024-04-18 03:07:31:41,공격,성공,1,288,331,360,360,1,75.3571,1,1
2024-04-18 03:07:31:68,공격,성공,1,287,361,390,390,1,68.574961,1,1
2024-04-18 03:07:32:05,공격,성공,1,286,391,420,420,1,62.40321451,1,1
2024-04-18 03:07:32:41,공격,성공,1,285,421,450,450,1,56.7869252041,1,1
2024-04-18 03:07:32:81,공격,실패,1,284,451,480,480,1,51.676101935731,1,1
2024-04-18 03:07:33:17,공격,다시하기,0,284,451,480,480,1,100,1,1
2024-04-18 03:07:33:52,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 03:07:33:92,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 03:07:34:36,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-18 03:07:34:78,공격,실패,3,297,61,90,90,1,75.3571,1,1
2024-04-18 03:07:35:17,공격,성공,2,297,61,90,90,1,100,1,1
2024-04-18 03:07:35:67,공격,성공,2,296,91,120,120,1,91,1,1
2024-04-18 03:07:36:15,공격,성공,2,295,121,150,150,1,82.81,1,1
2024-04-18 03:07:36:63,공격,실패,2,294,151,180,180,1,75.3571,1,1
2024-04-18 03:07:36:97,공격,성공,1,294,151,180,180,1,100,1,1
2024-04-18 03:07:37:47,공격,성공,1,293,181,210,210,1,91,1,1
2024-04-18 03:07:37:95,공격,성공,1,292,211,240,240,1,82.81,1,1
2024-04-18 03:07:38:43,공격,실패,1,291,241,270,270,1,75.3571,1,1
2024-04-18 03:07:38:96,공격,다시하기,0,291,241,270,270,1,100,1,1
2024-04-18 03:07:39:19,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 03:07:39:39,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 03:07:39:59,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-18 03:07:39:79,공격,성공,3,297,61,90,90,1,75.3571,1,1
2024-04-18 03:07:40:00,공격,성공,3,296,91,120,120,1,68.574961,1,1
2024-04-18 03:07:40:20,공격,성공,3,295,121,150,150,1,62.40321451,1,1
2024-04-18 03:07:40:39,공격,성공,3,294,151,180,180,1,56.7869252041,1,1
2024-04-18 03:07:40:60,공격,성공,3,293,181,210,210,1,51.676101935731,1,1
2024-04-18 03:07:40:80,공격,성공,3,292,211,240,240,1,47.0252527615152,1,1
2024-04-18 03:07:40:99,공격,실패,3,291,241,270,270,1,42.7929800129789,1,1
2024-04-18 03:07:41:18,공격,성공,2,291,241,270,270,1,100,1,1
2024-04-18 03:07:41:41,공격,실패,2,290,271,300,300,1,91,1,1
2024-04-18 03:07:41:61,공격,성공,1,290,271,300,300,1,100,1,1
2024-04-18 03:07:41:82,공격,성공,1,289,301,330,330,1,91,1,1
2024-04-18 03:07:42:01,공격,실패,1,288,331,360,360,1,82.81,1,1
2024-04-18 03:07:42:21,공격,다시하기,0,288,331,360,360,1,100,1,1
2024-04-18 03:07:42:41,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 03:07:42:59,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 03:07:42:77,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-18 03:07:42:96,공격,성공,3,297,61,90,90,1,75.3571,1,1
