현재 시간,행동,결과,레벨,소지금,강화비용,판매가격,강화 성공률
2024-04-03 오후 6:27:08,게임 실행,게임 시작,1,1000,0,0,0
2024-04-03 오후 6:27:08,강화,강화 성공,1,990,10,100,100
2024-04-03 오후 6:27:08,강화,강화 성공,2,975,15,180,93
2024-04-03 오후 6:27:08,판매,판매,3,975,22,324,86
2024-04-03 오후 6:27:08,판매,판매,1,1299,10,100,100
2024-04-03 오후 6:27:08,판매,판매,1,1399,10,100,100
2024-04-03 오후 6:27:08,판매,판매,1,1499,10,100,100
2024-04-03 오후 6:27:08,판매,판매,1,1599,10,100,100
2024-04-03 오후 6:27:08,판매,판매,1,1699,10,100,100
2024-04-03 오후 6:27:08,판매,판매,1,1799,10,100,100
2024-04-03 오후 6:27:08,판매,판매,1,1899,10,100,100
2024-04-03 오후 6:27:08,판매,판매,1,1999,10,100,100
2024-04-03 오후 6:27:08,판매,판매,1,2099,10,100,100
2024-04-03 오후 6:27:08,판매,판매,1,2199,10,100,100
2024-04-03 오후 6:27:08,판매,판매,1,2299,10,100,100
2024-04-03 오후 6:27:08,판매,판매,1,2399,10,100,100
2024-04-03 오후 6:27:08,판매,판매,1,2499,10,100,100
2024-04-03 오후 6:27:08,판매,판매,1,2599,10,100,100
2024-04-03 오후 6:27:08,판매,판매,1,2699,10,100,100
2024-04-03 오후 6:27:08,판매,판매,1,2799,10,100,100
2024-04-03 오후 6:27:08,판매,판매,1,2899,10,100,100
2024-04-03 오후 6:27:08,판매,판매,1,2999,10,100,100
2024-04-03 오후 6:27:08,판매,판매,1,3099,10,100,100
2024-04-03 오후 6:27:08,판매,판매,1,3199,10,100,100
2024-04-03 오후 6:27:08,판매,판매,1,3299,10,100,100
2024-04-03 오후 6:27:08,판매,판매,1,3399,10,100,100
2024-04-03 오후 6:27:08,강화,강화 성공,1,3489,10,100,100
2024-04-03 오후 6:27:08,강화,강화 성공,2,3474,15,180,93
2024-04-03 오후 6:27:08,강화,강화 실패,3,3452,22,324,86
2024-04-03 오후 6:27:08,강화,강화 성공,1,3442,10,100,100
2024-04-03 오후 6:27:08,강화,강화 성공,2,3427,15,180,93
2024-04-03 오후 6:27:08,판매,판매,3,3427,22,324,86
2024-04-03 오후 6:27:08,판매,판매,1,3751,10,100,100
2024-04-03 오후 6:27:08,강화,강화 성공,1,3841,10,100,100
2024-04-03 오후 6:27:08,강화,강화 성공,2,3826,15,180,93
2024-04-03 오후 6:27:08,강화,강화 성공,3,3804,22,324,86
2024-04-03 오후 6:27:08,강화,강화 성공,4,3770,34,583,80
2024-04-03 오후 6:27:08,강화,강화 실패,5,3719,51,1050,75
2024-04-03 오후 6:27:08,강화,강화 성공,1,3709,10,100,100
2024-04-03 오후 6:27:08,강화,강화 성공,2,3694,15,180,93
2024-04-03 오후 6:27:08,판매,판매,3,3694,22,324,86
2024-04-03 오후 6:27:08,판매,판매,1,4018,10,100,100
2024-04-03 오후 6:27:08,강화,강화 성공,1,4108,10,100,100
